REF_DATE,GEO,DGUID,Indicator,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2013,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,9.3,,,,1
2014,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,8.8,,,,1
2015,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,8.5,,,,1
2016,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,8.6,,,,1
2017,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,8.5,,,,1
2018,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,8.2,,,,1
2019,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,7.5,,,,1
2020,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,5.6,,,,1
1991,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,12.7,,,,1
1992,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,13.1,,,,1
1993,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,13.1,,,,1
1994,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,13.3,,,,1
1995,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,13.2,,,,1
1996,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,12.3,,,,1
1997,Canada,2016A000011124,Age-standardized divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258929,1.4,11.5,,,,1
